250,0.5,-262,-170
249,0.496,-224,-156
248,0.492,-217,-150
247,0.488,-213,-148
246,0.484,-215,-146
245,0.48,-219,-148
244,0.476,-220,-145
243,0.472,-223,-146
242,0.468,-231,-150
241,0.464,-229,-150
240,0.46,-233,-151
239,0.456,-231,-152
238,0.452,-237,-151
237,0.448,-243,-155
236,0.444,-240,-151
235,0.44,-244,-156
234,0.436,-247,-156
233,0.432,-247,-156
232,0.428,-247,-156
231,0.424,-246,-161
230,0.42,-249,-159
229,0.416,-247,-157
228,0.412,-246,-158
227,0.408,-243,-163
226,0.404,-241,-161
225,0.4,-240,-159
224,0.396,-237,-160
223,0.392,-237,-160
222,0.388,-230,-159
221,0.384,-224,-158
220,0.38,-221,-157
219,0.376,-222,-157
218,0.372,-214,-160
217,0.368,-219,-158
216,0.364,-220,-157
215,0.36,-220,-153
214,0.356,-221,-153
213,0.352,-223,-152
212,0.348,-222,-156
211,0.344,-225,-154
210,0.34,-228,-154
209,0.336,-226,-154
208,0.332,-228,-157
207,0.328,-229,-155
206,0.324,-231,-159
205,0.32,-232,-159
204,0.316,-235,-161
203,0.312,-237,-160
202,0.308,-237,-161
201,0.304,-239,-161
200,0.3,-241,-166
199,0.296,-235,-161
198,0.292,-244,-164
197,0.288,-241,-162
196,0.284,-240,-166
195,0.28,-242,-163
194,0.276,-241,-165
193,0.272,-238,-167
192,0.268,-246,-167
191,0.264,-240,-164
190,0.26,-247,-167
189,0.256,-237,-165
188,0.252,-239,-166
187,0.248,-232,-164
186,0.244,-238,-164
185,0.24,-237,-163
184,0.236,-235,-164
183,0.232,-230,-164
182,0.228,-227,-161
181,0.224,-232,-163
180,0.22,-229,-161
179,0.216,-227,-163
178,0.212,-222,-161
177,0.208,-225,-159
176,0.204,-226,-161
175,0.2,-218,-159
174,0.196,-226,-158
173,0.192,-218,-160
172,0.188,-224,-158
171,0.184,-219,-159
170,0.18,-221,-156
169,0.176,-219,-157
168,0.172,-218,-158
167,0.168,-224,-160
166,0.164,-221,-161
165,0.16,-226,-159
164,0.156,-222,-160
163,0.152,-229,-163
162,0.148,-229,-160
161,0.144,-233,-162
160,0.14,-236,-161
159,0.136,-236,-160
158,0.132,-238,-161
157,0.128,-244,-164
156,0.124,-253,-164
155,0.12,-253,-166
154,0.116,-262,-168
153,0.112,-269,-169
152,0.108,-271,-168
151,0.104,-281,-170
150,0.1,-290,-172
149,0.096,-295,-172
148,0.092,-310,-175
147,0.088,-321,-177
146,0.084,-328,-179
145,0.08,-344,-183
144,0.076,-349,-181
143,0.072,-365,-186
142,0.068,-382,-189
141,0.064,-400,-190
140,0.06,-408,-192
139,0.056,-418,-198
138,0.052,-435,-200
137,0.048,-451,-203
136,0.044,-472,-204
135,0.04,-486,-210
134,0.036,-492,-212
133,0.032,-511,-215
132,0.028,-524,-219
131,0.024,-530,-225
130,0.02,-544,-225
129,0.016,-552,-232
128,0.012,-555,-235
127,0.008,-570,-238
126,0.004,-564,-240
125,0,-560,-245
124,-0.004,-562,-244
123,-0.008,-567,-249
122,-0.012,-554,-248
121,-0.016,-547,-253
120,-0.02,-539,-253
119,-0.024,-523,-256
118,-0.028,-524,-255
117,-0.032,-519,-258
116,-0.036,-501,-253
115,-0.04,-481,-255
114,-0.044,-463,-260
113,-0.048,-457,-258
112,-0.052,-442,-256
111,-0.056,-429,-254
110,-0.06,-421,-252
109,-0.064,-412,-249
108,-0.068,-393,-248
107,-0.072,-394,-247
106,-0.076,-375,-246
105,-0.08,-373,-245
104,-0.084,-354,-240
103,-0.088,-354,-240
102,-0.092,-345,-235
101,-0.096,-335,-233
100,-0.1,-333,-232
99,-0.104,-325,-226
98,-0.108,-321,-223
97,-0.112,-311,-222
96,-0.116,-307,-218
95,-0.12,-301,-216
94,-0.124,-294,-212
93,-0.128,-284,-211
92,-0.132,-277,-205
91,-0.136,-269,-205
90,-0.14,-266,-204
89,-0.144,-260,-202
88,-0.148,-246,-200
87,-0.152,-240,-197
86,-0.156,-234,-197
85,-0.16,-229,-192
84,-0.164,-221,-191
83,-0.168,-216,-188
82,-0.172,-207,-186
81,-0.176,-205,-184
80,-0.18,-201,-181
79,-0.184,-192,-175
78,-0.188,-188,-177
77,-0.192,-184,-172
76,-0.196,-179,-168
75,-0.2,-174,-166
74,-0.204,-174,-163
73,-0.208,-172,-162
72,-0.212,-168,-160
71,-0.216,-165,-155
70,-0.22,-163,-155
69,-0.224,-160,-151
68,-0.228,-157,-151
67,-0.232,-155,-149
66,-0.236,-152,-146
65,-0.24,-148,-144
64,-0.244,-147,-142
63,-0.248,-145,-140
62,-0.252,-144,-139
61,-0.256,-142,-138
60,-0.26,-138,-135
59,-0.264,-134,-134
58,-0.268,-138,-132
57,-0.272,-134,-131
56,-0.276,-134,-128
55,-0.28,-134,-128
54,-0.284,-132,-125
53,-0.288,-129,-124
52,-0.292,-127,-122
51,-0.296,-126,-120
50,-0.3,-124,-119
49,-0.304,-123,-121
48,-0.308,-121,-117
47,-0.312,-121,-118
46,-0.316,-120,-119
45,-0.32,-122,-114
44,-0.324,-120,-113
43,-0.328,-118,-115
42,-0.332,-113,-113
41,-0.336,-116,-111
40,-0.34,-116,-110
39,-0.344,-117,-111
38,-0.348,-115,-109
37,-0.352,-114,-112
36,-0.356,-111,-109
